Year,Avg_Population
1981,716493000
1982,733152000
1983,750034000
1984,767147000
1985,784491000
1986,802052000
1987,819800000
1988,837700000
1989,855707000
1990,873785000
1991,891910000
1992,910065000
1993,928226000
1994,946373000
1995,964486000
1996,982553000
1997,1000558000
1998,1018471000
1999,1036259000
2000,1053898000
2001,1071374000
2002,1088694000
2003,1105886000
2004,1122991000
2005,1140043000
2006,1157039000
2007,1134024000
2008,1150196000
2009,1166228000
2010,1182108000
2011,1197658000
2012,1212827000
2013,1227012000
2014,1233542000
